stack,nb_occurences,hunspell_bo
ཚྱོ,23,0
ཛྷེ,23,0
ཝྂ,23,0
ཞུ༷,23,0
ཞྱ,23,0
ཡཱེ,23,0
རྩྩི,23,0
རྵེ,23,0
ལྦྷ,23,0
ལྱུ,23,0
ལྷྲི,23,0
ཥཻ,23,0
སྟ༵,23,0
ཧཱེ,23,0
ཧྨྼྻུཾ,23,0
ཧྲྃ,23,0
ཨཱཻ,23,0
ོ༹ཾ,22,0
ཀྡི,22,0
ཀྵྀ,22,0
ཇུ༵,22,0
ཌྜི,22,0
ཏི༷,22,0
ཐཱུ,22,0
དེཾ,22,0
དྦྱ,22,0
ནྟུཾ,22,0
ནྱཽ,22,0
ནྷོ,22,0
པྲཱཾ,22,0
ཕྱཽ,22,0
བླེ,22,1
བྷྱཱི,22,0
མུ༵,22,0
ཚུ༵,22,0
ཛྫྷི,22,0
ཛྲ༵,22,0
ཛྷཱི,22,0
འུ༵,22,0
རུ༷,22,0
རྑྷཾཾ,22,0
རྡྡྷི,22,0
རྩྱཽ,22,0
རྷོ,22,0
རྻྻ,22,0
ལྦོ,22,1
ལྨཱ,22,0
ལླཾ,22,0
ལླྀ,22,0
ཤྩཻ,22,0
ཥྚཻ,22,0
ཥྛོ,22,0
སྗི,22,0
སྟྲུཾ,22,0
ཧྲྀཾ,22,0
ཪྟི,22,0
ཪྴུ,22,0
ཀྟཱི,21,0
ཀྟྲེ,21,0
ཀྼ,21,0
གུ༵,21,0
གྔ,21,0
གྟི,21,0
གྨཾ,21,0
གྷྒྷཱ,21,0
ཅཱ,21,0
ཆུ༵,21,0
ཉྫོ,21,0
ཊྭཱི,21,0
ཌྦྷྱ,21,0
ཏྟྭཱ,21,0
དྐཱ,21,0
དྒེ,21,0
དྒྲྀ,21,0
དྦྷྱཾ,21,0
ནྡྱཱ,21,0
ནྦཱ,21,0
པླི,21,0
ཕུྃ,21,0
ཕྙོ,21,0
ཕྲ༵,21,0
བེ༷,21,0
བཱིཾ,21,0
བྱཽ,21,0
བྷོཾ,21,0
བྷྲཱི,21,0
མྥ,21,0
མྦཾ,21,0
མྶ,21,0
ཙྪཱི,21,0
ཚྲ,21,0
ཛྷིཾ,21,0
ཟི༵,21,0
ཟྱ,21,0
འེཾ,21,0
རུ༵,21,0
རྐྵ,21,0
རྟྲི,21,0
རྦཱཾ,21,0
ཤྨཱི,21,0
ཥྦ,21,0
ཥྭེ,21,0
སཱུཾ,21,0
སྐཽ,21,0
སྒི,21,1
སྡེ༵,21,0
སྨྲ༷,21,0
སྲི༷,21,0
སླཽ,21,0
སྶུ,21,0
ཧྂ,21,0
ཧྥེ,21,1
ཧྱཻ,21,0
ཧྼཱྀ,21,0
ཨྠ,21,0
ཪྴཱ,21,0
༔ྭྃ,20,0
ཀྟཽ,20,0
ཀྵླཱྀ,20,0
ཀྵླྀ,20,0
གྡྷཾ,20,0
གྲི༷,20,0
ཅུུ,20,0
ཉྩཱི,20,0
ཎྞི,20,0
ཏྐྵི,20,0
ཏྥ,20,0
ཏྻ,20,0
དྲི༵,20,0
དྷྀ,20,0
ནྤུ,20,0
ནྤྲ,20,0
ནྲཱྀ,20,0
པྟཱཾ,20,0
པྱཱཾ,20,0
བྱིི,20,0
མྲེ,20,0
མླཻ,20,0
ཙུ༵,20,0
ཙྪཾ,20,0
ཛྙཱེ,20,0
ཛྙཾ,20,0
ཛྷེཾ,20,0
ཝ྄,20,0
ཟེ༵,20,0
རཱིཾ,20,0
རྂ,20,0
རྐུཾ,20,0
རྒྱུུ,20,0
རྞཱཾ,20,0
རྡཱུ,20,0
རྡྭ,20,0
རྡྭི,20,0
རྩི༵,20,0
རྩི༷,20,0
རྩྱ,20,0
རྫཱི,20,0
རླེ,20,1
རྴེ,20,0
ལྯ,20,0
ལྻུ,20,0
ཥ྄,20,0
ཥྜུ,20,0
ཥྼྀ,20,0
སཱེ,20,0
སྔོ༷,20,0
སྗ,20,0
སྩཽ,20,0
ཧཱོ,20,0
ཧཻཾ,20,0
ཧྞཱི,20,0
ཧྲཱྃ,20,0
ཀྟྲཱ,19,0
ཀྟྲཾ,19,0
ཀྱྀ,19,0
ཀྲྱ,19,0
ཀྵྭི,19,0
ཁྱོ༵,19,0
ངུ༷,19,0
ངྷྲིུ,19,0
ཉྫཱི,19,0
ཊྚཾ,19,0
ཌེཾ,19,0
ཌྒེ,19,0
ཎིཾ,19,0
ཏྨི,19,0
ཐེ༵,19,0
དྨཾ,19,0
དྲེ༷,19,0
པཱུཾ,19,0
པྤཱུ,19,0
པྲྃ,19,0
ཕཻ,19,0
ཕྲོ༷,19,0
བྡྷེ,19,0
བླཽ,19,0
མྦྲ,19,0
མྲཾ,19,0
ཙླཱི,19,0
ཚཱུ,19,0
ཞུུ,19,0
རོཾ,19,0
རྟུཾ,19,0
རྦཽ,19,0
རྨཱི,19,0
རྵྚཱ,19,0
ལྒྱུ,19,0
ལྷྲུ,19,0
ཤྪ,19,0
ཤླྀ,19,0
ཥྚཱྃ,19,0
ཥྞེ,19,0
སྟྱཻ,19,0
སྤྲོ༷,19,0
སླ༷,19,0
ཧྞཾ,19,0
ཨེ༵,19,0
ཨྂ,19,0
ཪྡ,19,0
ྉྤཱ,19,0
࿕,19,0
ཀྟཻ,18,0
ཀྤྲ,18,0
ཀླིཾ,18,0
ཀྵྲ,18,0
ཀྵྼཱྀ,18,0
ཀྻ,18,0
ཀྼཱྀ,18,0
ཁྑ,18,0
གྣཾ,18,0
གྱེ༵,18,0
གླུ༵,18,0
ངྐི,18,0
ངྷཾ,18,0
ཇོཾ,18,0
ཉཱི,18,0
ཉྃ,18,0
ཌྼྀ,18,0
ཎྜྷ,18,0
ཎྱཱཾ,18,0
ཏྟྲཾ,18,0
དྲཱུ,18,0
དྲིཾ,18,0
དྷྣ,18,0
ནཱོ,18,0
ནྟྠ,18,0
ནྡྭ,18,0
ནྣཱི,18,0
ནླ,18,0
པྟཽ,18,0
པྲཱུ,18,0
ཕེྃ,18,0
ཙྱཾ,18,0
ཚིཾ,18,0
ཚུ༷,18,0
ཛྷྃ,18,0
ཟླུཾ,18,0
རྡཱི,18,0
རྡཽ,18,0
རྣྣི,18,0
རྴི,18,0
རྷཾ,18,0
རྺཱ,18,0
ལྼྀ,18,0
ཥྤོ,18,0
ཥྱི,18,0
ཥྲྀ,18,0
སི༷,18,0
སྟོ༷,18,0
སྟྭཱཾ,18,0
སྠཱཾ,18,0
སྡཽ,18,0
སྤྱི༷,18,0
སྨྼྻུྃ,18,0
ཧྣོ,18,0
ཪྻཻ,18,0
ཪྻྻ,18,0
ྉྤུ,18,0
༒,17,1
ཀྟྲྀ,17,0
ཀྲ༵,17,0
གཱོ,17,0
གྱུ༷,17,0
ངཱི,17,0
ངཱུ,17,0
ཇོ༵,17,0
ཌྷཱེ,17,0
ཌྼཱྀ,17,0
ཎྜྻི,17,0
ཏྒྷ,17,0
ཏྟྲཱ,17,0
ཏྤྲཱ,17,0
ཏྲཱིཾ,17,0
ཏྶཱཾ,17,0
ཐྲྀ,17,0
དྀ,17,0
དྡཱི,17,0
དྷྭོ,17,0
དྷྱཽ,17,0
དྷྲཱི,17,0
ནྟྲོ,17,0
ནྣྲྀ,17,0
ནྩི,17,0
ནྭོ,17,0
པྟྲྀ,17,0
ཕྱ༵,17,0
ཕྱཻ,17,0
བྱོ༷,17,0
བྲེཾ,17,0
མྀ,17,0
མྤོ,17,0
ཙྱི,17,0
ཙླཱྀ,17,0
ཚྃ,17,0
ཛྙུ,17,0
ཞིྃ,17,0
འུ༷,17,0
རཱུཾ,17,0
རཱྃ,17,0
རྔ༷,17,0
རྟྶ,17,0
རླྷེ,17,0
ལྦེ,17,1
ལྱཻ,17,0
ལླཱྀ,17,0
ཤྚ,17,0
ཥྃ,17,0
ཥྚྱ,17,0
ཥྠཱ,17,0
ཥླི,17,0
སྟྱཱཾ,17,0
སྡཻ,17,0
ཧཽཾ,17,0
ཨཱུྃ,17,0
ཨཱཽ,17,0
ཪྞྞ,17,0
༴ུ,16,0
ཀཱོ,16,0
ཀྀ,16,0
ཀྵྨྼྻུྃ,16,0
ཀྺ,16,0
ཁུཾ,16,0
གུྃ,16,0
གྡེ,16,0
གྣཽ,16,0
གྦི,16,0
གྲཻ,16,0
གྷུྃ,16,0
གྷྀ,16,0
གྼྀ,16,0
ངླྀ,16,0
ཆྲོུ,16,0
ཇ༵,16,0
ཊྤ,16,0
ཊྱཾ,16,0
ཌིཾ,16,0
ཎྨ,16,0
ཏུྃ,16,0
ཏྞ,16,0
ཏྟྭཾ,16,0
ཏྨེ,16,0
ཏྱུཾ,16,0
དཱིཾ,16,0
དྟྷཱ,16,0
དྤི,16,0
དྲ༵,16,0
དྲུྃ,16,0
དྶ,16,0
དྷྣཱ,16,0
དྷྲཱ,16,0
དྷྲེ,16,0
དྷྲྱ,16,0
པྠ,16,0
པྲཻ,16,0
པྷ,16,0
ཕིཾ,16,0
བྲིཾ,16,0
བྶ,16,0
བྶཱ,16,0
བྷྱཻ,16,0
མཾཾ,16,0
མྣོ,16,0
ཙྩེ,16,0
ཛྀ,16,0
ཛྫེ,16,0
ཛྱི,16,0
ཛྱུ,16,0
ཛྱཽ,16,0
ཝླྀ,16,0
འྱ,16,0
ཡཾཾ,16,0
རྔཽ,16,0
རྡྷྣི,16,0
རྤཱུ,16,0
རྦྦཻ,16,0
རྦྲ,16,0
རྦྷཾ,16,0
རྨྱོ,16,1
རྪ,16,0
རྫཽ,16,0
རྱི,16,0
རྵཾ,16,0
ལྭཱ,16,0
ལྱཽ,16,0
ལྷཾ,16,0
ཤཱོ,16,0
ཤྟི,16,0
ཥྚཱྀ,16,0
ཥྜཱཾ,16,0
ཥྟི,16,0
སྔཽཾ,16,0
སྗོ,16,0
སྟྭཱ,16,0
སྣཽ,16,0
སླཱྀ,16,0
ཪྺཱ,16,0
་ྡ,15,0
ཀྲཻ,15,0
ཀྵྼྀ,15,0
ཀྷཱ,15,0
ཁྲེཾ,15,0
གྚ,15,0
གྟེ,15,0
གྲ༵,15,0
གྲིཾ,15,0
ངྡྷ,15,0
ཅཻ,15,0
ཆི༵,15,0
ཊྤཱ,15,0
ཏཱུཾ,15,0
ཏྥུ,15,0
ཏླི,15,0
ཏྶྨ,15,0
ཐོུ,15,0
ནོུ,15,0
ནྔྷོ,15,0
ནྕ,15,0
ནྡྲྀ,15,0
ནྤི,15,0
ནྨེ,15,0
ནྶཱི,15,0
པྶཱཾ,15,0
བེ༵,15,0
བཻཾ,15,0
བྀ,15,0
བྡྷོ,15,0
བྣ,15,0
བྱུ༵,15,0
བྲེ༷,15,0
བྲཻ,15,0
མྭ,15,0
ཚེཾ,15,0
ཡཱུཾ,15,0
ཡིཾ,15,0
ཡྻཾ,15,0
རོི,15,0
རྒ༷,15,0
རྒྒེ,15,0
རྙྷེ,15,0
རྞྞཽ,15,0
རྟོ༵,15,0
རྟྟོ,15,0
རྟྱཱ,15,0
རྦྦཱི,15,0
རྫྱ,15,0
རླཾ,15,0
ལཱིཾ,15,0
ལྡེཾ,15,0
ཤྣོ,15,0
ཤྩཱི,15,0
ཤླུ,15,0
ཥྚྱཱ,15,0
ཥྛཽ,15,0
ཥྟིཾ,15,0
ཥྟུ,15,0
ཥྤཻ,15,0
ཥྭཾ,15,0
ཥྵུ,15,0
སྐཱི,15,0
སྑཱ,15,0
སྟྭི,15,0
སྟྱཾ,15,0
སྤྲཱ,15,0
སྦྱུ,15,1
ཧྞི,15,0
ཧྨྼྻུྃ,15,0
ཪྵྱཱ,15,0
༆,14,1
་ུྃ,14,0
།ེ,14,0
ཀྑྒྒྷྔ,14,0
ཀྤུ,14,0
ཀྵྱཾ,14,0
ཀྶེ,14,0
གྦ,14,0
གྦྷྱཱ,14,0
གྨེ,14,0
གྲྃ,14,0
གློ༷,14,0
གྷྱཾ,14,0
ཆོཾ,14,0
ཇྟི,14,0
ཌྷྃ,14,0
ཎྛཾ,14,0
ཎྱཽ,14,0
ཏྟཽ,14,0
ཏྠྡྡྷྣ,14,0
ཏྦཱ,14,0
ཏྨྱ,14,0
ཏྱཱུ,14,0
ཏྶོ,14,0
དིཾ,14,0
དྐྠ,14,0
དྡྷྭཾ,14,0
དྲྭ༵,14,0
དྷྭཱཾ,14,0
དྷྭྃ,14,0
དྻཱུ,14,0
ནོེ,14,0
ནྐཱ,14,0
ནྚི,14,0
ནྟྟེ,14,0
ནྡཱཾ,14,0
ནྨཱུ,14,0
ནྲེ,14,0
ནྷཱ,14,0
པྤཱ,14,0
ཕྲུྃ,14,0
བྦཱ,14,0
བྦྷ,14,0
བྲྃ,14,0
མྟེ,14,0
མྦྱ,14,0
མྨོ,14,0
མྱིུ,14,0
མྲཱི,14,0
ཙྲི,14,0
ཚྲི,14,0
ཛྫཾ,14,0
ཝཻ,14,0
ཞིཾ,14,0
ཟཾ,14,0
ཡྱེ,14,0
ཡྼྀ,14,0
རྗེྃ,14,0
རྠཻ,14,0
རླླ,14,0
རྴཱ,14,0
རྵྚི,14,0
རྺེ,14,0
ལྐི,14,1
ལྒི,14,1
ལྨི,14,0
ལྱཱཾ,14,0
ཤཱིཾ,14,0
ཤཱེ,14,0
ཤིི,14,0
ཤྩྱ,14,0
ཤྪཱ,14,0
ཤྴ,14,0
ཤྴཱ,14,0
ཥྐྲྀ,14,0
སྟྲིཾ,14,0
སྡུ༵,14,0
སྤྱོ༵,14,0
ཧྣཱི,14,0
ཧྣཾ,14,0
ཧྭི,14,0
ཀཾཾ,13,0
ཀྲྀཾ,13,0
ཀྴེ,13,0
ཀྵེཾ,13,0
ཀྵྱཻ,13,0
ཀྶི,13,0
ཀྶྱ,13,0
ཁྱ༵,13,0
ཁྱེ༵,13,0
ཁྱཱཾ,13,0
ཁྲུ༵,13,0
ཁྲོྃ,13,0
གྡྷཱཾ,13,0
ངོཾ,13,0
ངྦ,13,0
ངྱཱ,13,0
ངྷཱེ,13,0
ངྷྲ,13,0
ངྷྲི,13,0
ངྻ,13,0
ཆྲིུ,13,0
ཉྙ,13,0
ཊྐ,13,0
ཊྚཱི,13,0
ཊྭཱཾཾ,13,0
ཊླྀ,13,0
ཌྦྷྱཱ,13,0
ཎཱིཾ,13,0
ཎྜྻ,13,0
ཏྐེ,13,0
ཏྟཻ,13,0
ཏྣྱ,13,0
དོྃ,13,0
དྐྟེ,13,0
དྒྲ,13,0
དྣཱ,13,0
དྤཱ,13,0
དྦུ,13,0
དྴ,13,0
དྶྱ,13,0
དྷྱཱཾ,13,0
དྼཱྀ,13,0
ནྐ,13,0
ནྐུ,13,0
ནྛ,13,0
ནྫོ,13,0
ནྷེ,13,0
ནྻུ,13,0
པྡྷ,13,0
པྣཾ,13,0
པྨ,13,0
པྭ,13,0
པློ,13,0
པྶེ,13,0
ཕྱེ༷,13,0
ཕྲུ༵,13,0
ཕྲྀ,13,0
བྦྦ,13,0
བྲོ༵,13,0
བྲྀཾ,13,0
ཙྙཱ,13,0
ཙྨ,13,0
ཙྪིཾ,13,0
ཛྙཱིཾ,13,0
ཛྨི,13,0
ཛྷོ,13,0
ཛྼྀ,13,0
ཡྨྼྻུྃ,13,0
ཡླྀ,13,0
རྟ༵,13,0
རྡྲྀ,13,0
རྡྷོ,13,0
རྨྨཾ,13,0
རྨྲྀ,13,0
རྩཾ,13,0
རྲྀ,13,0
རྵཱཾ,13,0
ལྗེ,13,1
ལྟཾ,13,0
ལྩ,13,0
ལྷུ༵,13,0
ཤུ༵,13,0
ཥྐོ,13,0
ཥྚོྃ,13,0
ཥྟཾ,13,0
ཥྵི,13,0
སྐོ༷,13,0
སྐུྃ,13,0
སྟོ༵,13,0
སྟྀ,13,0
སྟྱེ,13,0
སྡྱེ,13,0
སྤྲོ༵,13,0
སྶེ,13,0
སྶཾ,13,0
ཧྭཾ,13,0
ཧྱི,13,0
ཧྱོ,13,0
ཧྲིྃ,13,0
ཧྲཻ,13,0
ཨ༷,13,0
ཪྡྷ,13,0
ཪྺེ,13,0
་ོཾ,12,0
ཽ༹,12,0
ཀྭེ,12,0
ཀྭོ,12,0
ཀྵྞཾ,12,0
ཁྱ༷,12,0
གྒོ,12,0
གྦྷ,12,0
གྦྷྱཾ,12,0
གྭཱ,12,0
གྼཱྀ,12,0
ངྔྷཾ,12,0
ངྷྱེ,12,0
ཅཽ,12,0
ཆྱ,12,0
ཉྙཱ,12,0
ཊཱྃ,12,0
ཊཻ,12,0
ཊྚུ,12,0
ཊྨ,12,0
ཊླཱྀ,12,0
ཋྛཱ,12,0
ཌྷཱཾ,12,0
ཏཱཻ,12,0
ཏཱྀ,12,0
ཏྛ,12,0
ཏྲོཾ,12,0
ཏླཱྀ,12,0
ཏྶྣ,12,0
ཏྷ,12,0
ཏྷཱ,12,0
ཐྠཱ,12,0
དིུ,12,0
དྐྟ,12,0
དྡྷྱཻ,12,0
དྱཱི,12,0
དྱོུ,12,0
དྱཽུ,12,0
དྱོཾ,12,0
དྲུ༷,12,0
དྷྡྷཱ,12,0
དྷྲཱྀ,12,0
དྼྀ,12,0
ནྔྷཱ,12,0
ནྣཻ,12,0
ནྨྲྀ,12,0
ནྷི,12,0
ནྻ,12,0
པེ༵,12,0
ཕོ༵,12,0
ཕྥཱ,12,0
ཕྲེྃ,12,0
བྱོུ,12,0
བྲཱུཾ,12,0
བྲུུ,12,0
བྷྦྷཱ,12,0
བྷྭཱ,12,0
བྻུ,12,0
བྼཱྀ,12,0
མཱོ,12,0
མཾྃ,12,0
ཙྪྱཱ,12,0
ཚཽ,12,0
ཚྪཱ,12,0
ཛཱེ,12,0
ཛཽཾ,12,0
ཛྙཱོ,12,0
ཝ༵,12,0
ཝྼྀ,12,0
ཟྱི,12,0
འྃ,12,0
རཾཾ,12,0
རྐྵཱི,12,0
རྒྱཾ,12,0
རྞཽ,12,0
རྟྲ,12,0
རྠྱཱ,12,0
རྡཾ,12,0
རྤུ,12,0
རྨ༵,12,0
རྩིི,12,0
ཤྭ༵,12,0
ཥྜི,12,0
ཥྤཱེ,12,0
ཥྼཱྀ,12,0
ས༷༷,12,0
སྐྱཽ,12,0
སྣུཾ,12,0
སྤྱིི,12,0
སྲཱྀ,12,0
སློ༵,12,0
སླུ༷,12,0
སྷཻ,12,0
སྺ,12,0
ཧཾཾ,12,0
ཧླཱི,12,0
ཪྨ,12,0
་ྃྃ,11,0
་ྟ,11,0
ཀཱིཾ,11,0
ཀྐཾ,11,0
ཀྞི,11,0
ཀྟིཾ,11,0
ཀྠཱ,11,0
ཀྱ༷,11,0
ཀྱིྃ,11,0
ཀྱོི,11,0
ཀྵྨཻ,11,0
ཀྵྨྱ,11,0
ཁྱིཾ,11,0
གཱིཾ,11,0
གྕ,11,0
གྡྷྭཾ,11,0
གྦྷཱ,11,0
གྷྣེ,11,0
གྷྣོ,11,0
གྷྲེ,11,0
ངྔྷཻ,11,0
ངྦྷ,11,0
ཅུཾ,11,0
ཅྲུ,11,0
ཉཽཾ,11,0
ཉྫཽ,11,0
ཊཱོ,11,0
ཊྛྜྜྷྞ,11,0
ཊྠ,11,0
ཊྭི,11,0
ཊྲྀ,11,0
ཋྞུ,11,0
ཌྜྷི,11,0
ཌྨ,11,0
ཎཱེ,11,0
ཎྟ,11,0
ཎྡྲ,11,0
ཏཱོ,11,0
ཏྣཱཾ,11,0
ཏླ,11,0
ཏྶཽ,11,0
ཐི༷,11,0
དྒཱི,11,0
དྡྲྀ,11,0
དྷྲིཾ,11,0
དྻོ,11,0
ནྜཱ,11,0
ནྤཱ,11,0
ནྶཾ,11,0
ནྷུ,11,0
པཱེ,11,0
པྣེ,11,0
པྥྦྦྷྨ,11,0
པྷཱ,11,0
ཕེ༵,11,0
ཕཽཾ,11,0
ཕྲི༵,11,0
ཕྲཾ,11,0
བྡྷྱ,11,0
བྱོ༵,11,0
བྷིཾ,11,0
བྼྀ,11,0
མྃཾ,11,0
མྱཽ,11,0
མློེ,11,0
ཙྨི,11,0
ཙྱཽ,11,0
ཙླེ,11,0
ཙྼྀ,11,0
ཚྱ,11,0
ཛུྃ,11,0
ཛོཾ,11,0
ཛྙཻ,11,0
ཛྭོ,11,0
ཛྷཱཾ,11,0
ཛྷྫྷཱ,11,0
ཝཱྃ,11,0
ཞཾ,11,0
ཟོ༵,11,0
ཡཱྃ,11,0
ཡླཱྀ,11,0
རུུ,11,0
རྐཾ,11,0
རྒྒཱ,11,0
རྒྲི,11,0
རྟཻ,11,0
རྟྃ,11,0
རྟྶི,11,0
རྡྷུ,11,0
རྡྷྭཾ,11,0
རྣཱི,11,0
རྦྱོ,11,0
རྨཱུ,11,0
རྩཻ,11,0
རྫུ༷,11,0
རླཱ,11,0
རླཱྀ,11,0
ལྒོ,11,1
ལླྱ,11,0
ཤྩཽ,11,0
ཤྫ,11,0
ཥྐྲ,11,0
ཥྛྱ,11,0
ཥྵཱི,11,0
སྐ༵,11,0
སྐོུཾ,11,0
སྐོཾ,11,0
སྔེ,11,1
སྗུ,11,0
སྙེ༵,11,0
སྙིི,11,0
སྭཱཱ,11,0
སྲོ༷,11,0
སླུུ,11,0
སྶཱི,11,0
ཧླྀཾ,11,0
ཨཱེཾ,11,0
ཨིྃ,11,0
ཪྵྞི,11,0
ཪྻཱཾ,11,0
ཪྻཽ,11,0
ཪྼཱྀ,11,0
ྋ,11,0
༴ྃ,10,0
ཀྟཱུ,10,0
ཀྲོ༵,10,0
ཀྲྃ,10,0
ཀླཻ,10,0
ཀྵྭེ,10,0
ཀྻཱ,10,0
ཀྼཱ,10,0
ཁཱེ,10,0
ཁྲུ༷,10,0
ཁྷི,10,0
གྀ,10,0
གྒཾ,10,0
གྔྷ,10,0
གྟཱ,10,0
གྣཱཾ,10,0
གྱཻ,10,0
གླཱཽ,10,0
ངཻ,10,0
ངོྃ,10,0
ངྔཱ,10,0
ངྼྀ,10,0
ཉཱུ,10,0
ཉྗ,10,0
ཉྫཱུ,10,0
ཊིཾ,10,0
ཊུྃ,10,0
ཊྒ,10,0
ཋྃ,10,0
ཌྀ,10,0
ཌྱཾ,10,0
ཌྷྜྷཱ,10,0
ཌྷྭ,10,0
ཎྚཱི,10,0
ཏྐྲི,10,0
ཏྦུ,10,0
ཏྦྷུ,10,0
ཏྭཱྃ,10,0
ཏྲྱཱ,10,0
ཏྲྱཾ,10,0
ཐྱཻ,10,0
དྕ,10,0
དྡཱུ,10,0
དྦྷེ,10,0
དྨཻ,10,0
དྨཽ,10,0
དྭྱཱ,10,0
དྲཻཾ,10,0
དླ,10,0
དྶུ,10,0
དྷིི,10,0
དྷྣོ,10,0
དྷྨི,10,0
ནྟྟ,10,0
ནྡྨ,10,0
ནྡྷཱཾ,10,0
ནྨཱི,10,0
ནྨོ,10,0
ནྲུ,10,0
ནླེ,10,0
ནྴི,10,0
པཱོ,10,0
པྡཱ,10,0
ཕོཾ,10,0
ཕྱེ༵,10,0
བཻྃ,10,0
བཾྃ,10,0
བྡི,10,0
བྫི,10,0
བྲི༷,10,0
བྷྲཱཾ,10,0
བྷྻུ,10,0
མཱེ,10,0
མྣེ,10,0
མྦཽ,10,0
མྦྷྱཱ,10,0
ཙོ༵,10,0
ཙྪྫྫྷྙ,10,0
ཚེྃ,10,0
ཚོཾ,10,0
ཚྼྀ,10,0
ཛྫྱ,10,0
ཛྷཻཻཾ,10,0
ཛྷླྀ,10,0
ཛྼཱྀ,10,0
ཝྱཱ,10,0
ཝྺ,10,0
ཞཱ,10,0
ཞྡེ,10,0
ཟཻ,10,0
ཟྱེ,10,0
འཱ,10,0
ཡུ༵,10,0
ཡོྃ,10,0
རཱུྃ,10,0
རཱོ,10,0
རྐྲི,10,0
རྑཾ,10,0
རྟོ༷,10,0
རྟྨི,10,0
རྟྲཱྀ,10,0
རྡྷཱི,10,0
རྣྱ,10,0
རྦྲི,10,0
རྨ༷,10,0
རྩྪཱ,10,0
རྩྲི,10,0
རྫུ༵,10,0
རྱཱཾ,10,0
རྵྚཾ,10,0
རྵྱི,10,0
རྻཽ,10,0
ལྭི,10,0
ལྼཱྀ,10,0
ཤཱྀ,10,0
ཤ྄,10,0
ཤྭཽ,10,0
ཤྲཻ,10,0
ཥྜྱ,10,0
ཥྡྱ,10,0
ཥྦཱ,10,0
སི༵,10,0
སོྃ,10,0
སྒྲཽ,10,0
སྙ༷,10,0
སྠྱ,10,0
སྡུཾ,10,0
སྣྔ,10,0
སྤོ༵,10,0
སྤཻ,10,0
སྤོཾ,10,0
སྤྱཽ,10,0
སྤྲིུ,10,0
སྨཾ,10,0
སྭྃ,10,0
སྱཱུ,10,0
སྲ༷,10,0
ཧི༵,10,0
ཧྥུ,10,1
ཧྭོ,10,0
ཧྱུ,10,0
ཧྲཱྀཾ,10,0
ཧྻ,10,0
ཪྦ,10,0
྿,10,0
ཀྒ,9,0
ཀྣི,9,0
ཀྤཱ,9,0
ཀྲཱཾ,9,0
ཀླུ༵,9,0
ཀྵྨཱིཾ,9,0
ཀྷཾ,9,0
ཁུུ,9,0
ཁྱི༵,9,0
གོུ,9,0
གེཾ,9,0
གྒི,9,0
གྟུ,9,0
གྡྷོ,9,0
གྡྷྭེ,9,0
གྱེ༷,9,0
གླ༵,9,0
གྷེྃ,9,0
གྷྒྷ,9,0
གྷྣུ,9,0
གྷྱཱ,9,0
གྷྲཱཾ,9,0
གྷྲོ,9,0
ང༷༷,9,0
ངྒྲྀ,9,0
ངྡ,9,0
ངྶ,9,0
ངྷཽ,9,0
ངྷྨཱ,9,0
ངྷྱཾ,9,0
ཆཱ,9,0
ཇིི,9,0
ཇྟིེ,9,0
ཉིེ,9,0
ཉཽ,9,0
ཉྕ,9,0
ཉྨི,9,0
ཉླྀ,9,0
ཊྱཻ,9,0
ཋཱུ,9,0
ཌྜུ,9,0
ཌྷྜྷ,9,0
ཌྷྱཱ,9,0
ཎྚུ,9,0
ཎྛོ,9,0
ཎྜཱེ,9,0
ཏཱིི,9,0
ཏེཾ,9,0
ཏྟིཾ,9,0
ཏྟུཾ,9,0
ཏྠྡྡྷྣཱ,9,0
ཏྤྲི,9,0
ཏྨཾ,9,0
ཏྭཽ,9,0
ཏྱོཾ,9,0
ཐྣཱ,9,0
ཐྭི,9,0
ཐྶུ,9,0
དྒོ,9,0
དྒྷཱ,9,0
དྔྷ,9,0
དྡྷྭ,9,0
དྦོ,9,0
དྦྲ,9,0
དྦྷོ,9,0
དྨྃ,9,0
དྭཱཾ,9,0
དླཱྀ,9,0
དྷཱྀ,9,0
དྷྭཽ,9,0
དྷྱཱི,9,0
ནུ༷,9,0
ནྕཾ,9,0
ནྟྱཾ,9,0
ནྠཱི,9,0
ནྡྡྷ,9,0
ནླྀ,9,0
པོྃ,9,0
པྡེ,9,0
པྦ,9,0
པྶྭ,9,0
པྷི,9,0
པྻུ,9,0
ཕུ༵,9,0
ཕྥ,9,0
ཕྲྃ,9,0
བྡྷཽ,9,0
བླེཾ,9,0
བྷ༵,9,0
བྷུྃ,9,0
བྷྲཽ,9,0
མེྃ,9,0
མྦྷཱུ,9,0
མྨི,9,0
ཙྩོ,9,0
ཙྪྫྫྷྙཱ,9,0
ཙྪྭཱ,9,0
ཙླ,9,0
ཚྪི,9,0
ཚྱི,9,0
ཚླྀ,9,0
ཛོ༵,9,0
ཛྟ,9,0
ཛྫཽ,9,0
ཛླྀ,9,0
ཝླཱྀ,9,0
འིུ,9,0
འྲ,9,0
ཡྀ,9,0
ཡྡོ,9,0
ཡྻེ,9,0
ཡྼཱྀ,9,0
རུྃ,9,0
རེཾ,9,0
རྐུ༵,9,0
རྐྲ,9,0
རྐྵི,9,0
རྑཱ,9,0
རྑྷ,9,0
རྒོ༷,9,0
རྒཽ,9,0
རྒྱི,9,1
རྒྷྃ,9,0
རྒྷྱ,9,0
རྔྷཱ,9,0
