stack,nb_occurences,hunspell_bo
གླ,33083,1
སྤྲི,32988,1
ཎ,32317,0
རློ,30723,1
སྦ,30701,1
སྤུ,30452,1
མཱ,29185,0
རྡ,28824,1
ཙི,28551,1
དྲོ,28418,1
རཱ,27616,0
ལྟེ,27048,1
ཛུ,26804,1
རྨི,26802,1
ཧི,26701,1
ནཱ,26369,0
ལྡེ,25708,1
རྒོ,25412,1
྅,25127,0
བྷི,24454,0
རྔ,24414,1
༢,24292,1
ཀྱེ,24011,1
ཀྲུ,23687,1
ལྗ,23473,1
ཨི,23437,1
སྟི,23290,1
ཎྜ,23179,0
༧,23016,1
པྱ,22641,1
སྩོ,22514,1
གྱོ,22280,1
སྐྱི,22251,1
༈,21732,1
སྭ,21598,1
གླེ,21558,1
རྐྱ,21478,1
ཉུ,21451,1
པཱ,21297,0
རྙ,21236,1
གློ,21149,1
ཀི,21108,1
ཏྲ,20744,1
བླུ,20689,1
ཉྩ,20608,0
ཏཱ,20129,0
རྨོ,19933,1
ཀྱུ,19724,1
ཐཱ,18849,0
གླུ,18629,1
ཀྲོ,18569,1
སྤེ,18074,1
བྷྱོ,17832,0
ནེ,17777,1
ཀྵ,17711,0
པྱོ,17478,1
རཾ,17424,0
༣,17130,1
སླུ,16979,1
སྦྲུ,16897,1
པི,16688,1
སྤྲ,16296,1
བྲོ,16227,1
རྗི,16135,1
རྟུ,16127,1
བཱ,15620,0
ཨོ,15202,1
སྦྲ,15077,1
ཎི,15006,0
ཏྲི,14478,0
ཥ,14454,0
ཁཱ,14383,0
ཁེ,14041,1
རྐུ,13929,1
ཀླ,13921,1
ཙྪ,13900,0
༠,13761,1
སཱ,13722,0
གྷ,13594,0
༤,13484,1
ཤྲཱི,13458,0
དྷི,13331,0
ཛྙཱ,13321,0
ནཱི,13076,0
ཡཱ,13027,0
བྷཱ,12787,0
ཏྟ,12783,0
ཨཱོྃ,12697,0
བཾ,12493,0
དྷཱ,12390,0
ཀཱི,12167,0
སྐྱུ,12166,1
༥,12118,1
ཝཱ,12057,0
སྣུ,11899,1
ཧུ,11845,1
ཏྣ,11707,0
ཧཾ,11590,0
ཤྭ,11473,1
སཾ,11451,0
ཀེ,11414,1
པཱུ,11285,0
ཏཱི,11263,0
ལྗོ,11232,1
ཀྲི,11229,1
